Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58,0.12
8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92,0.12
8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75,0
8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89,0.11
8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83,0.12
8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83,0.11
8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,88.75,0.11
8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67,0.03
8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42,0.03
8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25,0.1
8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,0.1
8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,0
8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,0
8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,0
8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,0.05
8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,0
8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,0.03
8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,0.05
8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,0.1
8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,0
8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,0
8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,0.11
8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,0.13
8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0
8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11
8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12
7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05
8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12
