price,size,bathrooms,bedrooms,floors,view,yearBuilt,distAirport,distCityCenter,cluster
319469.02,243.0,1.0,1.0,1.0,1.0,1981.0,29.35,31.92,0.0
231473.04,201.0,1.0,1.0,1.0,1.0,1980.0,41.05,28.04,0.0
272101.08,201.0,1.0,1.0,1.0,5.0,1968.0,42.07,28.64,0.0
288608.38,209.0,1.0,1.0,1.0,1.0,1972.0,30.76,17.36,0.0
218391.84,201.0,1.0,1.0,2.0,1.0,1985.0,31.59,42.85,0.0
300972.9,265.0,1.0,1.0,2.0,3.0,1954.0,34.59,36.24,0.0
201291.15,209.0,1.0,1.0,1.0,1.0,1977.0,43.23,23.38,0.0
261794.32,260.0,1.0,1.0,1.0,1.0,1959.0,32.79,23.6,0.0
233108.82,201.0,1.0,1.0,1.0,3.0,1980.0,33.58,32.44,0.0
259803.78,201.0,1.0,1.0,2.0,1.0,1954.0,42.31,32.96,0.0
273823.22,285.0,2.0,1.0,1.0,2.0,1953.0,32.2,25.24,0.0
267305.28,201.0,1.0,1.0,3.0,1.0,1973.0,31.78,34.25,0.0
244798.74,201.0,1.0,1.0,1.0,4.0,1977.0,34.05,33.54,0.0
260409.96,227.0,1.0,1.0,1.0,3.0,1961.0,30.03,28.61,0.0
279517.93,201.0,1.0,1.0,4.0,5.0,1978.0,32.53,22.85,0.0
176287.89,201.0,1.0,1.0,1.0,1.0,1984.0,32.79,26.59,0.0
228746.46,201.0,1.0,1.0,2.0,2.0,1955.0,36.2,32.75,0.0
268996.95,201.0,1.0,1.0,3.0,1.0,1964.0,39.53,29.28,0.0
233378.9,203.0,1.0,1.0,1.0,2.0,1970.0,35.06,32.04,0.0
222035.76,265.0,1.0,1.0,1.0,1.0,1966.0,38.12,38.22,0.0
187392.27,273.0,1.0,1.0,1.0,5.0,1985.0,33.59,26.02,0.0
224274.18,201.0,1.0,1.0,1.0,5.0,1953.0,39.35,38.39,0.0
285884.09,201.0,1.0,1.0,1.0,4.0,1962.0,34.12,28.81,0.0
226638.52,201.0,1.0,1.0,1.0,1.0,1955.0,34.97,38.24,0.0
164048.92,201.0,1.0,1.0,3.0,1.0,1960.0,40.52,33.02,0.0
221217.8,201.0,1.0,1.0,1.0,1.0,1965.0,34.16,28.55,0.0
222811.18,201.0,1.0,1.0,1.0,1.0,1980.0,38.53,20.18,0.0
310525.41,201.0,1.0,1.0,1.0,1.0,1977.0,32.68,24.25,0.0
225639.85,201.0,1.0,1.0,3.0,2.0,1961.0,38.33,27.37,0.0
261798.99,201.0,1.0,1.0,1.0,1.0,1975.0,35.55,30.8,0.0
173783.66,201.0,1.0,1.0,1.0,1.0,1982.0,30.23,38.46,0.0
243866.14,201.0,1.0,1.0,4.0,6.0,1987.0,36.31,34.3,0.0
283706.23,252.0,1.0,1.0,1.0,5.0,1971.0,38.33,19.1,0.0
231420.69,201.0,1.0,1.0,2.0,6.0,1987.0,36.14,30.11,0.0
215359.66,233.0,1.0,1.0,1.0,1.0,1989.0,38.29,35.83,0.0
284084.28,201.0,1.0,1.0,1.0,1.0,1963.0,29.24,35.77,0.0
301898.1,201.0,1.0,1.0,1.0,4.0,1952.0,33.83,28.67,0.0
208046.82,201.0,1.0,1.0,2.0,2.0,1960.0,24.3,36.6,0.0
200533.07,201.0,1.0,1.0,1.0,1.0,1956.0,40.71,29.83,0.0
279292.23,261.0,1.0,1.0,1.0,1.0,1959.0,31.75,26.04,0.0
226931.06,201.0,1.0,1.0,1.0,5.0,1957.0,36.28,30.64,0.0
266275.18,211.0,1.0,1.0,1.0,1.0,1989.0,40.31,22.51,0.0
220644.35,273.0,1.0,1.0,1.0,4.0,1959.0,40.2,33.08,0.0
307169.39,201.0,1.0,1.0,2.0,5.0,1983.0,33.03,31.23,0.0
261281.77,219.0,1.0,1.0,2.0,1.0,1974.0,42.12,32.3,0.0
282837.76,201.0,1.0,1.0,2.0,1.0,1987.0,29.8,36.18,0.0
350521.46,201.0,1.0,1.0,2.0,4.0,1987.0,34.9,39.31,0.0
331752.52,236.0,1.0,1.0,3.0,5.0,1986.0,31.48,32.65,0.0
282858.85,206.0,1.0,1.0,1.0,5.0,1978.0,34.33,30.2,0.0
290865.68,212.0,1.0,1.0,1.0,2.0,1987.0,30.75,30.31,0.0
249629.85,201.0,1.0,1.0,1.0,1.0,1958.0,36.05,25.61,0.0
256578.55,201.0,1.0,1.0,1.0,1.0,1954.0,28.92,28.13,0.0
212543.81,376.0,1.0,1.0,1.0,1.0,1955.0,35.57,35.82,0.0
