ID,Zip Code,Year Built,Price,Living Space (SQFT),Lot Space (SQFT),Bedrooms,Bathrooms,Number of Floors,Basement,Waterfront
439,98115,2000,438000,1270,1372,2,2,3,No,Yes
607,98103,2000,531000,1270,1175,2,3,2,Yes,Yes
2462,98040,2000,1700000,4930,14649,5,5,2,Yes,Yes
2748,98075,2000,726000,2970,10335,5,3,2,No,Yes
2856,98122,2000,582000,1670,1189,4,3,3,Yes,Yes
3286,98126,2000,315000,580,7200,1,1,1,No,No
3374,98075,2000,700000,3150,7778,4,3,2,No,No
3778,98033,2000,1650000,3310,8400,5,4,2,No,No
4409,98116,2000,1705000,2490,27702,3,3,2,No,No
4431,98117,2000,1100000,3700,16857,3,3,1,Yes,No
6042,98033,2000,2385000,6330,13296,4,4,2,Yes,Yes
6377,98075,2000,870000,3610,12811,4,4,2,No,Yes
7682,98006,2000,1125000,5330,18116,6,4,2,Yes,No
8470,98070,2000,695000,2632,18743,3,2,2,No,Yes
9334,98027,2000,1335000,5050,202554,4,4,2,Yes,No
9856,98075,2000,680000,2970,6500,5,3,2,No,Yes
9955,98075,2000,1250000,5000,32909,5,5,2,No,Yes
10133,98053,2000,860000,3740,32417,4,2,2,No,Yes
10341,98136,2000,370000,1270,1399,2,1,3,No,No
10596,98058,2000,362500,1940,40588,3,2,1,No,Yes
10613,98136,2000,340000,1150,700,3,2,2,Yes,No
11028,98122,2000,408000,1500,1473,3,3,2,Yes,Yes
11644,98107,2000,491000,1250,1306,3,2,3,No,No
12866,98070,2000,385000,1590,9912,3,2,2,No,Yes
13272,98040,2000,2000000,4260,18000,4,3,2,No,No
14191,98199,2000,824000,1210,8400,2,1,1,Yes,No
15807,98144,2000,336000,1160,5000,1,1,2,No,Yes
17277,98108,2000,250000,1800,2500,4,3,2,No,No
19325,98006,2000,820000,3850,38830,3,3,2,No,No
407,98103,2001,450000,1290,1213,3,2,3,No,Yes
528,98024,2001,1600000,6050,230652,6,5,2,No,No
1172,98053,2001,1150000,4460,103382,4,4,2,No,No
1510,98042,2001,399000,3060,5000,4,3,2,No,Yes
1551,98001,2001,355000,2590,7213,4,3,2,No,Yes
2815,98144,2001,450000,1790,1709,2,3,2,Yes,No
3868,98065,2001,490000,2640,5267,4,3,2,No,Yes
4396,98118,2001,475000,2010,2554,3,3,2,Yes,No
5049,98019,2001,337000,1590,8779,4,2,1,No,Yes
5764,98075,2001,705000,3150,9318,4,3,2,No,No
6792,98122,2001,390000,1550,1608,3,3,2,Yes,No
7447,98106,2001,277000,1960,5160,4,3,1,Yes,Yes
8048,98112,2001,1195000,2350,1620,3,3,2,Yes,No
8639,98004,2001,4489000,6430,27517,4,3,2,No,No
9442,98075,2001,680000,3150,6175,4,3,2,No,Yes
9454,98075,2001,695000,3150,9130,4,3,2,No,No
9784,98014,2001,340000,1570,14992,3,2,1,No,Yes
11948,98059,2001,1150000,4160,13170,4,3,2,Yes,No
12830,98075,2001,727000,3150,9703,4,3,2,No,No
13374,98107,2001,418000,1250,1306,3,2,3,No,No
15169,98045,2001,316000,1780,188465,1,2,2,No,Yes
17509,98034,2001,1215000,4560,16339,3,3,2,Yes,Yes
18876,98004,2001,1945000,4690,6900,4,4,2,Yes,No
19004,98019,2001,400000,2090,7634,3,3,1,Yes,No
301,98074,2002,3075000,4550,18641,4,5,1,Yes,No
1176,98107,2002,505000,1500,2500,3,2,2,No,No
1230,98038,2002,457000,2800,7845,4,3,2,No,No
1754,98199,2002,368000,930,1662,2,2,1,Yes,No
2172,98022,2002,342500,2080,11375,3,2,1,No,Yes
2281,98122,2002,660000,2260,1825,3,3,2,Yes,No
7244,98038,2002,444000,2800,7198,4,3,2,No,No
8115,98038,2002,380000,2800,9764,4,3,2,No,Yes
8708,98022,2002,590000,2490,339332,4,2,1,No,Yes
9056,98118,2002,285000,2110,5260,5,3,2,Yes,Yes
10818,98006,2002,1688000,5000,12941,4,4,3,No,Yes
11219,98038,2002,425000,2430,5502,4,3,2,No,No
11848,98056,2002,494500,3760,8804,4,3,2,Yes,Yes
11972,98092,2002,395000,2500,6278,4,3,2,No,No
12588,98053,2002,835000,2280,6815,2,2,1,No,No
12694,98056,2002,640000,2270,5175,3,3,2,Yes,Yes
14065,98092,2002,357500,3270,9146,5,3,2,No,Yes
16525,98006,2002,1400000,4700,22326,5,4,2,No,Yes
18187,98059,2002,343500,1660,7509,3,2,1,No,Yes
18571,98122,2002,651000,2260,1834,3,3,2,Yes,No
18892,98053,2002,391265,1440,3900,3,2,1,No,Yes
19334,98058,2002,400000,1860,12944,3,2,1,No,No
19573,98144,2002,373000,1400,2445,3,2,1,Yes,No
20380,98065,2002,500000,2520,4104,4,3,2,No,No
323,98001,2003,230000,1450,11204,3,2,1,No,Yes
895,98106,2003,209000,1230,1340,3,2,2,Yes,No
1033,98053,2003,554000,1920,6045,2,2,1,No,No
1306,98053,2003,428000,1350,4225,2,2,1,No,No
1397,98075,2003,1062500,5320,20041,4,4,2,No,Yes
1660,98144,2003,342000,1260,1251,3,3,2,Yes,Yes
1778,98031,2003,269000,1210,7136,3,2,1,No,Yes
2394,98038,2003,449950,2800,6977,4,3,2,No,No
2940,98103,2003,335000,1430,1249,3,3,3,No,Yes
4145,98059,2003,701000,2910,8540,4,3,2,No,Yes
4311,98115,2003,600000,1520,1800,3,3,3,No,No
4492,98053,2003,673200,4180,8561,5,3,2,No,Yes
4534,98028,2003,390000,2360,5737,3,2,2,No,Yes
4714,98038,2003,412000,2430,7242,4,3,2,No,No
5117,98053,2003,542000,1930,4500,2,2,1,No,Yes
5156,98118,2003,370000,2220,5185,5,3,2,No,No
5698,98053,2003,559000,1660,4500,2,2,1,No,Yes
5852,98077,2003,900000,3810,217800,4,3,2,No,Yes
6144,98001,2003,260000,1630,8018,3,2,1,No,Yes
6299,98108,2003,490000,2330,3497,4,3,2,Yes,No
6353,98126,2003,380000,1470,1656,3,2,2,Yes,Yes
7139,98133,2003,500000,2920,11440,5,3,2,No,No
7224,98014,2003,650000,3720,57499,4,3,1,Yes,No
7484,98144,2003,359000,1320,1071,3,3,2,Yes,Yes
7526,98103,2003,380500,1270,1348,3,2,3,No,Yes
7528,98029,2003,376000,1340,1635,2,2,2,No,Yes
8399,98053,2003,579000,1870,6275,2,2,1,No,Yes
9411,98038,2003,549900,3610,7555,5,3,2,No,No
9715,98014,2003,937500,5545,871200,4,4,2,Yes,No
9911,98188,2003,375000,2420,9566,4,3,2,No,Yes
10017,98178,2003,292050,2840,7199,5,3,1,Yes,No
10029,98115,2003,390000,1463,868,3,2,3,No,No
10165,98053,2003,428000,1350,3900,2,2,1,No,No
10208,98003,2003,383150,2210,6387,3,2,1,No,Yes
10416,98107,2003,439950,1230,1613,3,2,2,Yes,No
11148,98038,2003,234000,1200,3624,2,2,2,No,No
11759,98155,2003,451000,2260,6508,5,3,1,Yes,No
14163,98042,2003,279000,1640,5650,3,2,1,No,Yes
14446,98038,2003,410000,2430,7243,4,3,2,No,Yes
15218,98059,2003,390000,670,11505,2,1,1,No,No
16713,98072,2003,495000,2740,2811,4,3,2,Yes,Yes
17467,98144,2003,395000,1500,2506,3,2,1,Yes,No
17751,98042,2003,398950,3000,10297,4,3,2,No,Yes
18041,98038,2003,409950,2430,7163,4,3,2,No,No
