date,y
2/1/72,11.838
3/1/72,10.69882
4/1/72,5.22268
5/1/72,8.51549
6/1/72,18.6784
7/1/72,-0.46692
8/1/72,-3.76086
9/1/72,-10.95879
10/1/72,-17.95711
11/1/72,-13.61813
12/1/72,-3.53159
1/1/73,4.1593
2/1/73,18.17777
3/1/73,10.93006
4/1/73,4.75351
5/1/73,4.13007
6/1/73,25.60979
7/1/73,-2.1612
8/1/73,-7.18189
9/1/73,-8.06296
10/1/73,-17.81358
11/1/73,-12.44356
12/1/73,-6.679
1/1/74,2.35554
2/1/74,19.63365
3/1/74,11.84407
4/1/74,0.37983
5/1/74,7.03579
6/1/74,21.38644
7/1/74,-5.47042
8/1/74,-2.75649
9/1/74,-11.43271
10/1/74,-17.63716
11/1/74,-10.22851
12/1/74,-7.69691
1/1/75,5.24134
2/1/75,17.35172
3/1/75,12.92986
4/1/75,-0.09106
5/1/75,14.41161
6/1/75,16.60883
7/1/75,-4.7396
8/1/75,-3.07099
9/1/75,-14.03301
10/1/75,-15.97681
11/1/75,-7.26706
12/1/75,-10.64356
1/1/76,-1.2785
2/1/76,19.5627
3/1/76,17.42472
4/1/76,3.64101
5/1/76,4.46396
6/1/76,16.85746
7/1/76,-2.32951
8/1/76,-3.38934
9/1/76,-11.1531
10/1/76,-18.5753
11/1/76,-10.07982
12/1/76,-7.47488
1/1/77,2.0589
2/1/77,17.71106
3/1/77,19.9314
4/1/77,2.9374
5/1/77,6.96705
6/1/77,15.74161
7/1/77,-2.08647
8/1/77,-5.26756
9/1/77,-13.80776
10/1/77,-17.11536
11/1/77,-11.35437
12/1/77,-8.83387
1/1/78,0.72456
2/1/78,17.74445
3/1/78,15.17564
4/1/78,6.10778
5/1/78,3.80852
6/1/78,20.41331
7/1/78,-3.95325
8/1/78,-3.02446
9/1/78,-12.60532
10/1/78,-12.61851
11/1/78,-14.26798
12/1/78,-8.07331
1/1/79,0.97748
2/1/79,17.34576
3/1/79,16.88985
4/1/79,5.52684
5/1/79,3.83721
6/1/79,16.26617
