,y,t,year,quarter
0,510.0219546555675,1,2001,1
1,555.2136528178323,2,2001,2
2,585.6864923611299,3,2001,3
3,657.8276591484263,4,2001,4
4,543.8241806438176,5,2002,1
5,555.9889304727899,6,2002,2
6,608.5486440449348,7,2002,3
7,641.7522668249487,8,2002,4
8,594.048888891383,9,2003,1
9,641.771079122328,10,2003,2
10,675.1944049869669,11,2003,3
11,678.4021328911471,12,2003,4
12,626.8143082379619,13,2004,1
13,625.5341357524209,14,2004,2
14,675.6474792396031,15,2004,3
15,758.5952381467326,16,2004,4
16,641.2118204060432,17,2005,1
17,689.5661751088813,18,2005,2
18,728.8381203500161,19,2005,3
19,787.5042934947118,20,2005,4
20,672.9168536647501,21,2006,1
21,719.9914217533797,22,2006,2
22,766.1132338878817,23,2006,3
23,816.9698739672333,24,2006,4
24,689.690920636599,25,2007,1
25,734.2502999029439,26,2007,2
26,745.9263304020127,27,2007,3
27,856.8548250711806,28,2007,4
28,726.1409372893017,29,2008,1
29,764.7153731234175,30,2008,2
30,796.2219584781205,31,2008,3
31,874.144049785775,32,2008,4
32,758.3637050737487,33,2009,1
33,804.8806151285032,34,2009,2
34,812.8306054046417,35,2009,3
35,873.4756147781574,36,2009,4
36,757.5482979386336,37,2010,1
37,824.0464874513563,38,2010,2
38,874.7013690432356,39,2010,3
39,879.2997019993338,40,2010,4
40,770.0526864536952,41,2011,1
41,803.2207308463825,42,2011,2
42,854.7074077310541,43,2011,3
43,940.0426884930504,44,2011,4
44,831.1185176609756,45,2012,1
45,876.3916269404642,46,2012,2
46,874.6761148157755,47,2012,3
47,929.4598415006071,48,2012,4
48,865.1101540603464,49,2013,1
49,902.1755574495063,50,2013,2
50,906.7062048184773,51,2013,3
51,973.2543743101637,52,2013,4
52,852.8981391528959,53,2014,1
53,872.8412983162459,54,2014,2
54,895.3931138048426,55,2014,3
55,937.8109177813936,56,2014,4
56,894.7664147166433,57,2015,1
57,875.421615656181,58,2015,2
58,920.5199373708178,59,2015,3
59,1012.5930256058253,60,2015,4
60,869.8539655272403,61,2016,1
61,903.2964204070137,62,2016,2
62,936.3777238038234,63,2016,3
63,963.7279423812574,64,2016,4
64,889.8758374182859,65,2017,1
65,897.7716166903372,66,2017,2
66,950.305317506861,67,2017,3
67,998.2721107524014,68,2017,4
68,886.004543633609,69,2018,1
69,896.3531039657366,70,2018,2
70,937.5211636597251,71,2018,3
71,1029.8710213217541,72,2018,4
72,911.1150040904969,73,2019,1
73,929.274642609626,74,2019,2
74,913.3085801363799,75,2019,3
75,979.5208076006577,76,2019,4
76,909.3131174304281,77,2020,1
77,899.5986558719551,78,2020,2
78,953.5165848205527,79,2020,3
79,996.9653015230672,80,2020,4
80,832.5740605141004,81,2021,1
81,951.7251660289685,82,2021,2
82,971.0470940556875,83,2021,3
83,995.4701404730392,84,2021,4
84,883.4768893250514,85,2022,1
85,906.4001121055392,86,2022,2
86,899.108286906549,87,2022,3
87,950.8786277465338,88,2022,4
88,835.3552698782381,89,2023,1
89,872.7407346048537,90,2023,2
90,947.349890965972,91,2023,3
91,982.7858616811797,92,2023,4
92,862.7572207773698,93,2024,1
93,871.0336559621646,94,2024,2
94,950.546387021637,95,2024,3
95,966.2183094676452,96,2024,4
96,842.889087905176,97,2025,1
97,852.0758319665929,98,2025,2
98,923.7660606191228,99,2025,3
99,976.2503668865206,100,2025,4
