m,d,y,date,t,income,sales
1,1,1996,1/1/1996,1,274661.1483289791,208166.36209575195
4,1,1996,4/1/1996,2,276387.63005418325,206825.49603827804
7,1,1996,7/1/1996,3,275397.91161334043,199376.59431769288
10,1,1996,10/1/1996,4,260789.01869670514,207858.60515277792
1,1,1997,1/1/1997,5,277000.6439515935,207934.36764188588
4,1,1997,4/1/1997,6,274741.05266333837,208753.86593581951
7,1,1997,7/1/1997,7,277301.44898825453,206342.57973907512
10,1,1997,10/1/1997,8,266202.071522591,208932.19689675287
1,1,1998,1/1/1998,9,275243.6492890672,209897.68070519727
4,1,1998,4/1/1998,10,275318.97586535977,207430.84429691505
7,1,1998,7/1/1998,11,280890.9190772507,202818.4409012834
10,1,1998,10/1/1998,12,266353.32924654946,205506.52652769804
1,1,1999,1/1/1999,13,277236.47996496886,209073.89267510653
4,1,1999,4/1/1999,14,282388.22920152656,206448.33167033404
7,1,1999,7/1/1999,15,280752.65081575327,207035.3584499299
10,1,1999,10/1/1999,16,269301.19141837914,200842.48320577943
1,1,2000,1/1/2000,17,287136.64657262206,205966.54307207454
4,1,2000,4/1/2000,18,284985.30062790046,204132.21239433106
7,1,2000,7/1/2000,19,286262.6297199671,205428.42012835154
10,1,2000,10/1/2000,20,272397.57646932884,212899.78086246247
1,1,2001,1/1/2001,21,288335.2912240687,206433.36906209536
4,1,2001,4/1/2001,22,287580.01319150685,204355.93602692295
7,1,2001,7/1/2001,23,286436.4083830325,208474.57578454693
10,1,2001,10/1/2001,24,272244.60489826376,209053.07821985165
1,1,2002,1/1/2002,25,294540.77885576844,210035.3667609729
4,1,2002,4/1/2002,26,286709.4424956432,211107.69836179074
7,1,2002,7/1/2002,27,289219.50272836693,210434.3636253044
10,1,2002,10/1/2002,28,277169.2967960576,211815.2455231513
1,1,2003,1/1/2003,29,295188.03721615137,216349.84630632866
4,1,2003,4/1/2003,30,293758.1030660117,211775.87387216376
7,1,2003,7/1/2003,31,291540.5535869321,212735.54148701837
