,manufacturer,type,ram,weight,price,touchscreen,ips,ppi,cpu_brand,hdd,ssd,gpu_brand,os
489,Asus,Ultrabook,16,0.91,1246.752,0,0,176.2325736,Intel Core i7,0,512,Intel,Windows
23,Dell,2 in 1 Convertible,8,1.62,523.63584,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows
449,Microsoft,Ultrabook,16,1.25,1655.3030400000002,1,0,200.8425599,Intel Core i7,0,512,Intel,Windows
819,Dell,Notebook,4,1.76,482.71680000000003,0,0,111.9352036,Intel Core i5,500,0,Intel,Windows
1105,Dell,Ultrabook,8,1.5,903.479616,0,0,125.367428,Intel Core i5,0,256,Intel,Windows
729,HP,Notebook,4,2.1,312.64704,0,0,141.2119981,AMD Processor,1000,0,AMD,Windows
1163,Lenovo,Notebook,8,2.2,293.46624,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows
1083,HP,Ultrabook,16,1.3,1310.04864,0,1,331.2642361,Intel Core i7,0,512,Intel,Windows
658,Lenovo,Gaming,8,3.31,764.6745599999999,0,1,141.2119981,Intel Core i7,0,128,Nvidia,Windows
90,Asus,Gaming,8,2.45,446.91264,0,0,141.2119981,AMD Processor,1000,0,AMD,Windows
1065,Dell,Ultrabook,8,1.29,932.1868800000001,0,0,165.6321181,Intel Core i7,0,256,Intel,Windows
247,Asus,Gaming,16,3.6,1917.44064,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
901,Asus,Gaming,32,3.58,817.74144,0,1,127.3356746,Intel Core i7,0,256,Nvidia,Windows
910,Dell,Notebook,8,1.6,770.4288,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
434,Lenovo,Notebook,16,2.5,1565.7926400000001,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows
678,LG,Ultrabook,8,1.09,1469.8886400000001,0,1,141.2119981,Intel Core i7,0,512,Intel,Windows
1160,Lenovo,Ultrabook,8,1.7,958.4006400000001,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows
794,Apple,Ultrabook,8,0.92,744.8543999999999,0,1,226.4155472,Other Intel Processor,0,0,Intel,Mac
608,Lenovo,2 in 1 Convertible,8,2.0,830.52864,1,1,141.2119981,Intel Core i7,0,256,Intel,Windows
501,HP,Notebook,8,1.91,395.7574464,0,0,100.4546699,Intel Core i5,0,256,AMD,Windows
567,Fujitsu,Notebook,8,2.2,472.48704,0,0,100.4546699,Intel Core i5,1000,0,Intel,Windows
365,HP,Notebook,8,2.04,248.71104,0,0,100.4546699,Other Intel Processor,2000,0,Intel,Windows
193,Lenovo,Notebook,8,2.8,446.27328000000006,0,0,106.1130621,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
952,Toshiba,Notebook,8,1.2,933.4656000000001,0,0,165.6321181,Intel Core i5,0,256,Intel,Windows
342,HP,Notebook,8,2.1,457.78176,0,1,141.2119981,Intel Core i3,1000,0,Nvidia,Windows
335,HP,Notebook,8,1.48,810.7084799999999,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
211,Asus,Gaming,16,2.9,899.5795200000001,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
1265,HP,Notebook,6,2.04,351.6416064,0,0,141.2119981,AMD Processor,0,0,AMD,Windows
95,Acer,2 in 1 Convertible,8,1.5,541.5379200000001,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows
48,Dell,Notebook,4,2.3,408.55104,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows
459,HP,Notebook,8,2.5,409.12646400000006,0,0,106.1130621,Intel Core i3,0,256,Intel,Windows
313,Acer,Notebook,8,2.23,299.85984,0,0,141.2119981,AMD Processor,0,256,AMD,Windows
927,HP,Notebook,8,2.31,744.8543999999999,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows
1049,Asus,Netbook,4,1.2,184.071744,0,0,135.0942112,Other Intel Processor,0,0,Intel,Others/No OS/Linux
857,HP,2 in 1 Convertible,8,1.28,1636.12224,1,0,165.6321181,Intel Core i7,0,256,Intel,Windows
984,Toshiba,Notebook,4,1.75,585.0144,0,0,111.9352036,Intel Core i5,500,0,Intel,Windows
738,MSI,Gaming,16,1.8,1339.1267328000001,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows
108,MSI,Gaming,16,2.2,830.52864,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows
135,HP,Notebook,8,1.63,631.68768,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows
985,Dell,Notebook,4,2.25,382.97664000000003,0,0,100.4546699,Intel Core i5,500,0,AMD,Windows
198,HP,Gaming,16,3.35,881.6774399999999,0,1,127.3356746,Intel Core i7,0,256,Nvidia,Windows
770,Dell,Notebook,16,2.3,755.2567872000001,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows
886,Dell,Notebook,4,2.18,291.356352,0,0,100.4546699,Intel Core i3,1000,0,AMD,Others/No OS/Linux
11,HP,Notebook,4,1.86,220.57280640000002,0,0,141.2119981,Intel Core i3,500,0,Intel,Others/No OS/Linux
1190,Lenovo,Gaming,8,2.4,523.63584,0,1,141.2119981,Intel Core i5,1000,0,Nvidia,Windows
1130,HP,Notebook,8,2.04,402.15744000000007,0,0,100.4546699,Intel Core i7,2000,0,Intel,Windows
888,Acer,Netbook,4,1.25,189.88992,0,1,135.0942112,Other Intel Processor,0,0,Intel,Others/No OS/Linux
85,Dell,Gaming,16,2.65,862.4966400000001,0,1,141.2119981,Intel Core i7,0,128,Nvidia,Windows
623,Fujitsu,Notebook,8,2.2,510.84864000000005,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows
93,Dell,Gaming,8,2.65,764.0352,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows
1230,Razer,Gaming,16,1.95,2237.12064,0,0,157.3505121,Intel Core i7,0,1000,Nvidia,Windows
1250,HP,Notebook,4,1.86,255.10464000000002,0,0,100.4546699,AMD Processor,500,0,AMD,Windows
355,Dell,Notebook,8,2.02,620.754624,0,0,141.2119981,Intel Core i7,0,128,AMD,Windows
634,Asus,Notebook,8,2.0,255.10464000000002,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Windows
1239,Lenovo,Notebook,6,2.2,382.0623552,0,0,141.2119981,AMD Processor,0,256,AMD,Windows
215,Dell,Ultrabook,8,1.4,595.8067968,0,1,165.6321181,Intel Core i7,0,256,AMD,Windows
821,Toshiba,Ultrabook,4,1.25,696.9024,0,0,111.9352036,Intel Core i5,0,128,Intel,Windows
388,Dell,Workstation,8,2.0,1365.0336,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows
256,HP,Notebook,8,1.91,285.090624,0,0,100.4546699,AMD Processor,0,128,AMD,Windows
537,HP,Notebook,4,1.86,255.09824640000002,0,0,141.2119981,Other Intel Processor,0,256,Intel,Windows
1017,Lenovo,Notebook,16,2.4,1897.62048,0,1,254.6713491,Intel Core i7,0,512,Nvidia,Windows
815,Lenovo,Ultrabook,8,1.32,1188.57024,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows
521,HP,Ultrabook,8,1.32,894.46464,0,1,165.6321181,Intel Core i7,0,256,Intel,Windows
915,Lenovo,Notebook,4,1.44,563.27616,0,0,165.6321181,Intel Core i5,0,128,Intel,Windows
437,Google,Ultrabook,16,1.1,1405.95264,1,0,234.5074,Intel Core i7,0,512,Intel,Others/No OS/Linux
945,Lenovo,Gaming,16,2.5,638.72064,0,1,141.2119981,AMD Processor,0,512,AMD,Windows
874,Samsung,Ultrabook,16,1.23,1182.1766400000001,0,0,146.860478,Intel Core i7,0,256,Nvidia,Windows
675,MSI,Gaming,16,2.4,827.33184,0,0,141.2119981,Intel Core i7,0,256,Nvidia,Windows
53,HP,Notebook,8,1.49,705.21408,0,0,165.6321181,Intel Core i7,0,512,Intel,Windows
639,Dell,Notebook,16,2.06,1533.82464,1,0,282.4239962,Intel Core i7,0,1000,Nvidia,Windows
530,Dell,Gaming,16,4.42,1926.2446272000002,0,1,127.3356746,Intel Core i7,0,128,Nvidia,Windows
1015,Toshiba,Notebook,8,1.5,773.6256000000001,0,0,117.8265301,Intel Core i5,0,256,Intel,Windows
566,Dell,Notebook,4,1.93,613.1462399999999,0,0,100.4546699,Intel Core i5,500,0,Intel,Windows
958,Dell,Ultrabook,8,1.3,810.7084799999999,0,0,276.0535301,Intel Core i7,0,256,Intel,Windows
56,HP,Notebook,4,1.91,280.67904,0,0,141.2119981,Intel Core i3,0,128,Intel,Windows
326,Acer,Notebook,6,2.23,351.00864,0,0,100.4546699,Intel Core i5,1000,0,Intel,Windows
67,HP,Notebook,4,1.44,146.41344,0,0,111.9352036,Other Intel Processor,0,32,Intel,Windows
834,Lenovo,Notebook,8,1.32,1054.944,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows
861,HP,Notebook,8,1.84,862.4966400000001,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows
839,Asus,Notebook,8,2.3,377.2224,0,0,141.2119981,Intel Core i5,128,0,Intel,Windows
261,Lenovo,Notebook,4,2.2,283.87584,0,0,141.2119981,Intel Core i3,0,256,Intel,Others/No OS/Linux
577,Lenovo,Gaming,32,4.6,1702.61568,0,1,127.3356746,Intel Core i7,0,256,Nvidia,Windows
413,Acer,2 in 1 Convertible,8,1.6,504.4614336,1,1,165.6321181,Intel Core i7,0,256,Intel,Windows
369,HP,Ultrabook,8,1.36,1118.88,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows
777,Acer,Notebook,4,1.8,406.63296,0,1,157.3505121,Intel Core i3,0,128,Intel,Windows
932,HP,Notebook,4,1.86,184.711104,0,0,100.4546699,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
82,HP,Notebook,8,1.63,549.8496,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
1123,Dell,Notebook,4,2.09,334.7880768,0,0,100.4546699,Intel Core i5,500,0,Intel,Others/No OS/Linux
191,Vero,Notebook,4,1.3,166.2336,0,1,157.3505121,Other Intel Processor,0,0,Intel,Windows
514,Xiaomi,Notebook,16,1.95,895.0720319999999,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
188,Acer,Ultrabook,8,1.12,632.32704,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows
481,Dell,Notebook,4,2.18,375.04857599999997,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows
1095,Acer,Notebook,8,2.4,510.84864000000005,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows
1146,HP,Ultrabook,8,1.26,1468.577952,0,0,176.2325736,Intel Core i7,0,256,Intel,Windows
280,Lenovo,Notebook,6,2.8,549.21024,0,0,106.1130621,Intel Core i7,0,128,Nvidia,Windows
734,Lenovo,Notebook,8,1.44,613.7856,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows
744,Lenovo,Workstation,16,2.5,2109.2486400000003,0,1,282.4239962,Intel Core i7,0,1000,Nvidia,Windows
850,HP,Notebook,4,1.86,191.16863999999998,0,0,100.4546699,Other Intel Processor,0,128,Intel,Others/No OS/Linux
638,Lenovo,2 in 1 Convertible,8,1.37,1123.6240512,1,1,165.6321181,Intel Core i7,0,256,Intel,Windows
1287,Asus,Notebook,4,2.2,235.92384,0,0,100.4546699,Other Intel Processor,500,0,Intel,Windows
565,Dell,Ultrabook,8,1.21,1022.33664,1,1,331.2642361,Intel Core i5,0,128,Intel,Windows
1042,Toshiba,Notebook,16,2.4,911.088,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows
148,MSI,Gaming,16,2.9,1297.26144,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
360,HP,Notebook,4,1.86,280.67904,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows
396,Lenovo,Notebook,8,2.1,786.1314816,0,1,141.2119981,Intel Core i7,0,256,AMD,Windows
641,HP,Notebook,8,2.6,333.042624,0,0,107.9856456,AMD Processor,1000,0,AMD,Windows
905,LG,Ultrabook,16,1.08,1342.01664,1,1,141.2119981,Intel Core i7,0,512,Intel,Windows
6,Apple,Ultrabook,16,2.04,1368.2112192,0,1,220.5346239,Intel Core i7,0,0,Intel,Mac
404,MSI,Gaming,16,2.8,1437.92064,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
718,Mediacom,Notebook,4,1.4,169.43040000000002,0,1,161.7253908,Other Intel Processor,32,0,Intel,Windows
480,Dell,Notebook,8,2.16,806.8723200000001,0,1,141.2119981,Intel Core i7,0,512,Nvidia,Windows
