price,size,bathrooms,bedrooms,floors,view,yearBuilt,distAirport,distCityCenter
261810.24,201.0,1.0,1.0,1.0,2.0,1980.0,33.16,29.21
279039.41,209.0,1.0,1.0,2.0,1.0,1952.0,38.05,40.33
275372.01,201.0,1.0,1.0,3.0,6.0,1976.0,38.22,27.02
248010.59,249.0,1.0,1.0,2.0,1.0,1988.0,32.4,32.18
246030.15,201.0,1.0,1.0,1.0,5.0,1958.0,32.67,24.69
284253.43,234.0,1.0,1.0,3.0,2.0,1954.0,22.23,24.48
233016.65,214.0,1.0,1.0,3.0,1.0,1956.0,29.13,34.93
255979.35,201.0,1.0,1.0,1.0,1.0,1958.0,42.94,23.18
234261.96,247.0,1.0,1.0,1.0,3.0,1983.0,39.34,22.88
298284.8,259.0,1.0,1.0,1.0,1.0,1983.0,38.1,26.18
225516.3,201.0,1.0,1.0,2.0,2.0,1980.0,32.68,37.25
188944.95,263.0,1.0,1.0,4.0,4.0,1955.0,39.84,31.74
244442.7,201.0,1.0,1.0,1.0,2.0,1982.0,23.3,29.23
289611.82,201.0,1.0,1.0,2.0,1.0,1974.0,31.85,40.8
206361.36,201.0,1.0,1.0,4.0,1.0,1958.0,32.58,39.74
179188.66,233.0,1.0,1.0,1.0,4.0,1981.0,31.18,27.25
324391.06,263.0,1.0,1.0,1.0,2.0,1975.0,33.81,32.04
280573.82,201.0,1.0,1.0,3.0,1.0,1977.0,35.09,33.61
312286.29,223.0,1.0,1.0,2.0,1.0,1962.0,28.31,28.72
323055.95,219.0,1.0,1.0,1.0,4.0,1955.0,25.6,29.19
241553.67,224.0,1.0,1.0,1.0,2.0,1985.0,35.7,31.09
241811.82,201.0,1.0,1.0,2.0,5.0,1954.0,32.08,30.25
267265.93,232.0,1.0,1.0,1.0,3.0,1969.0,34.82,24.17
258288.6,229.0,1.0,1.0,1.0,1.0,1985.0,32.68,35.62
167560.61,229.0,1.0,1.0,2.0,2.0,1965.0,28.94,26.56
251106.51,201.0,1.0,1.0,1.0,5.0,1974.0,31.22,30.55
291042.63,251.0,1.0,1.0,1.0,6.0,1987.0,42.28,34.85
234130.39,212.0,1.0,1.0,1.0,1.0,1973.0,44.14,31.06
268038.89,203.0,1.0,1.0,2.0,5.0,1981.0,32.29,20.75
231397.86,245.0,1.0,1.0,1.0,5.0,1956.0,38.98,32.85
220781.16,242.0,1.0,1.0,3.0,6.0,1986.0,36.16,28.74
172033.35,201.0,1.0,1.0,1.0,1.0,1952.0,33.26,32.59
175401.7,201.0,1.0,1.0,3.0,4.0,1976.0,32.95,31.77
256659.63,201.0,1.0,1.0,1.0,5.0,1987.0,41.0,30.05
185129.61,201.0,1.0,1.0,2.0,5.0,1984.0,43.67,32.29
325297.94,211.0,1.0,1.0,1.0,1.0,1971.0,43.32,22.79
169804.47,201.0,1.0,1.0,1.0,4.0,1973.0,30.11,27.49
310873.47,280.0,1.0,1.0,2.0,5.0,1973.0,32.17,21.94
201503.76,247.0,1.0,1.0,3.0,1.0,1954.0,28.33,16.56
162179.67,201.0,1.0,1.0,1.0,1.0,1974.0,35.64,25.3
191956.31,203.0,1.0,1.0,1.0,4.0,1965.0,34.88,42.2
206202.65,201.0,1.0,1.0,2.0,5.0,1958.0,37.81,30.73
237255.55,201.0,1.0,1.0,4.0,1.0,1983.0,39.77,24.01
278463.16,201.0,1.0,1.0,1.0,1.0,1971.0,36.14,25.15
256006.98,201.0,1.0,1.0,1.0,1.0,1986.0,39.51,26.29
310396.5,201.0,1.0,1.0,1.0,1.0,1981.0,36.72,34.85
288331.46,209.0,1.0,1.0,1.0,1.0,1967.0,33.73,17.02
201316.41,201.0,1.0,1.0,1.0,1.0,1988.0,38.46,36.74
180031.92,201.0,1.0,1.0,1.0,3.0,1973.0,29.28,25.84
273060.7,201.0,1.0,1.0,1.0,3.0,1984.0,33.81,29.37
