manufacturer_name,transmission,color,odometer_value,year_produced,engine_type,engine_capacity,body_type,drivetrain,price_usd
Others,automatic,silver,190000,2010,gasoline,2.5,universal,all,10900.0
Others,automatic,blue,290000,2002,gasoline,3.0,universal,all,5000.0
Others,automatic,red,402000,2001,gasoline,2.5,suv,all,2800.0
Others,automatic,black,280000,2001,gasoline,2.5,universal,all,2134.11
Others,automatic,silver,132449,2011,gasoline,2.5,universal,all,14700.0
Others,automatic,black,318280,1998,gasoline,2.5,universal,all,3000.0
Others,automatic,silver,350000,2004,gasoline,2.5,sedan,all,4500.0
Others,automatic,grey,179000,2010,gasoline,2.5,universal,all,12900.0
Others,automatic,silver,571317,1999,gasoline,2.5,universal,all,4200.0
Others,mechanical,other,280000,2003,gasoline,2.0,suv,all,6900.0
Others,automatic,grey,256000,2008,gasoline,3.6,suv,all,8350.0
Others,mechanical,other,321000,2002,gasoline,2.0,suv,all,4300.0
Others,mechanical,red,49999,2001,gasoline,1.3,hatchback,all,1666.0
Others,automatic,brown,154685,2011,gasoline,2.5,universal,all,8600.0
Others,automatic,black,163219,2004,gasoline,2.0,universal,all,7300.0
Others,automatic,other,318650,2005,gasoline,3.0,universal,all,7587.97
Others,mechanical,blue,191000,2005,gasoline,2.0,sedan,all,10950.0
Others,automatic,silver,179000,2014,gasoline,2.0,suv,all,12700.0
Others,automatic,black,159000,2013,gasoline,2.0,suv,all,16500.0
Others,automatic,white,257495,2008,gasoline,2.5,universal,all,8700.0
Others,automatic,silver,241402,2005,gasoline,3.0,suv,all,7500.0
Others,automatic,black,188000,2006,gasoline,3.0,suv,all,8650.0
Others,automatic,blue,240000,2001,gasoline,2.5,universal,all,3500.0
Others,automatic,green,249448,2002,gasoline,2.5,universal,all,3800.0
Others,automatic,other,250000,2007,gasoline,3.0,suv,all,7200.0
Others,automatic,green,417000,1997,gasoline,2.0,universal,front,1850.0
Others,automatic,violet,377000,1999,gasoline,2.5,universal,all,3800.0
Others,mechanical,black,300000,1999,gasoline,2.0,universal,all,3000.0
Others,mechanical,black,270000,2004,gasoline,2.0,sedan,all,6200.0
Others,mechanical,green,444444,1999,gasoline,2.0,universal,all,3700.0
Others,mechanical,violet,340000,1993,gasoline,1.6,universal,all,2000.0
Others,mechanical,silver,118000,2011,gasoline,2.5,sedan,all,14950.0
Others,automatic,black,246113,2008,gasoline,1.5,hatchback,all,5350.0
Others,automatic,green,128748,2016,gasoline,3.6,universal,all,17059.12
Others,mechanical,red,100000,1994,gasoline,2.0,sedan,all,1700.0
Others,automatic,blue,342790,1999,gasoline,2.5,universal,all,3500.0
Others,mechanical,silver,390000,1997,gasoline,2.0,suv,all,3000.0
Others,automatic,black,215000,2008,gasoline,2.5,universal,all,8100.0
Others,mechanical,grey,288500,2006,gasoline,2.5,universal,all,8500.0
Others,automatic,grey,225000,2005,gasoline,3.0,suv,all,7500.0
Others,automatic,green,310000,2001,gasoline,2.5,liftback,all,3300.0
Others,automatic,white,121000,2014,gasoline,2.0,suv,all,14950.0
